Team,Year,Conference,Conf Champ,Power Conf,NET,KPI,SOR,BPI,KP,Seed
Gonzaga,2021,WCC,1,0,1,1,1,1,1,1
Baylor,2021,Big 12,0,1,2,2,3,2,4,1
Illinois,2021,Big 10,1,1,3,5,2,4,3,1
Michigan,2021,Big 10,0,1,4,3,4,6,2,1
Houston,2021,AAC,1,0,5,9,13,3,6,2
Iowa,2021,Big 10,0,1,6,25,7,5,5,2
Alabama,2021,SEC,1,1,7,4,5,10,8,2
Ohio State,2021,Big 10,0,1,8,10,6,9,7,2
Loyola Chicago,2021,MVC,1,0,10,29,40,21,9,8
Kansas,2021,Big 12,0,1,11,24,11,19,22,3
Virginia,2021,ACC,0,1,12,19,12,11,11,4
Tennessee,2021,SEC,0,1,13,27,25,12,21,5
Arkansas,2021,SEC,0,1,14,13,10,14,18,3
Colorado,2021,PAC 12,0,1,15,23,26,18,17,5
Villanova,2021,Big East,0,0,16,21,19,7,12,5
Texas Tech,2021,Big 12,0,1,17,35,38,8,23,6
San Diego State,2021,MWC,1,0,18,7,24,17,20,6
USC,2021,PAC 12,0,1,19,14,15,16,14,6
BYU,2021,WCC,0,0,20,12,21,29,24,6
Texas,2021,Big 12,1,1,21,8,9,22,26,3
Purdue,2021,Big 10,0,1,22,28,14,28,13,4
West Virginia,2021,Big 12,0,1,23,11,16,27,27,3
Florida State,2021,ACC,0,1,24,20,20,23,15,4
Creighton,2021,Big East,0,0,25,31,17,13,19,5
Wisconsin,2021,Big 10,0,1,26,62,29,20,10,9
Saint Bonaventure,2021,A10,1,0,27,17,30,26,25,9
LSU,2021,SEC,0,1,28,18,23,24,29,8
Oklahoma State,2021,Big 12,0,1,29,6,8,36,30,4
Connecticut,2021,Big East,0,0,30,41,32,15,16,7
Florida,2021,SEC,0,1,31,44,36,32,37,7
North Carolina,2021,ACC,0,1,32,34,27,25,28,8
Georgia Tech,2021,ACC,1,1,33,30,31,35,32,9
Oregon,2021,PAC 12,0,1,34,26,22,34,36,7
Maryland,2021,Big 10,0,1,35,50,47,43,31,10
VCU,2021,A10,0,0,36,22,34,57,45,10
Oklahoma,2021,Big 12,0,1,37,42,44,31,39,8
Rutgers,2021,Big 10,0,1,38,52,33,46,34,10
Utah State,2021,MWC,0,0,39,39,66,49,40,11
Syracuse,2021,ACC,0,1,40,45,41,33,41,11
Clemson,2021,ACC,0,1,41,16,18,39,42,7
Drake,2021,MVC,0,0,45,56,46,62,53,11
UCLA,2021,PAC 12,0,1,46,51,43,42,44,11
Missouri,2021,SEC,0,1,47,15,28,50,51,9
Virginia Tech,2021,ACC,0,1,48,49,39,38,50,10
UC Santa Barbara,2021,Big West,1,0,54,54,52,61,69,12
Winthrop,2021,Big South,1,0,55,69,45,86,91,12
Georgetown,2021,Big East,1,0,64,55,48,65,55,12
Michigan State,2021,Big 10,0,1,70,64,37,68,56,11
Wichita State,2021,AAC,0,0,72,33,42,97,74,11
Oregon State,2021,PAC 12,1,1,91,66,67,87,85,12
Gonzaga,2022,WCC,1,0,1,5,7,1,1,1
Arizona,2022,PAC 12,1,1,2,3,2,3,2,1
Houston,2022,AAC,1,0,3,13,14,2,4,5
Baylor,2022,Big 12,0,1,4,2,4,6,5,1
Kentucky,2022,SEC,0,1,5,9,5,4,3,2
Kansas,2022,Big 12,1,1,6,1,1,8,6,1
Tennessee,2022,SEC,1,1,7,4,3,5,7,3
Villanova,2022,Big East,1,0,8,7,8,7,11,2
Texas Tech,2022,Big 12,0,1,9,17,12,13,9,3
UCLA,2022,PAC 12,0,1,10,11,15,9,8,4
Auburn,2022,SEC,0,1,11,6,6,12,10,2
Duke,2022,ACC,1,1,12,14,11,11,12,2
Purdue,2022,Big 10,0,1,13,10,9,10,14,3
Iowa,2022,Big 10,1,1,14,24,17,14,13,5
Illinois,2022,Big 10,0,1,15,20,18,15,17,4
Texas,2022,Big 12,0,1,16,35,24,17,15,6
Connecticut,2022,Big East,0,0,17,23,22,18,18,5
LSU,2022,SEC,0,1,18,25,25,16,19,6
Saint Mary's,2022,WCC,0,0,19,19,26,22,16,5
Arkansas,2022,SEC,0,1,20,18,16,20,20,4
Murray State,2022,OVC,1,0,21,43,20,30,27,7
San Francisco,2022,WCC,0,0,22,33,48,31,21,10
Loyola Chicago,2022,MVC,1,0,23,51,45,25,24,10
Wisconsin,2022,Big 10,0,1,24,8,10,28,34,3
San Diego State,2022,MWC,0,0,25,21,40,29,22,8
Ohio State,2022,Big 10,0,1,26,29,32,23,32,7
Virginia Tech,2022,ACC,0,1,27,49,42,19,23,11
Colorado State,2022,MWC,0,0,28,15,27,80,31,6
Boise State,2022,MWC,1,0,29,22,37,55,26,8
Alabama,2022,SEC,0,1,30,16,29,21,25,6
North Carolina,2022,ACC,0,1,31,34,19,26,29,8
Providence,2022,Big East,0,0,32,12,13,42,49,4
Memphis,2022,AAC,0,0,33,30,39,24,28,9
Michigan,2022,Big 10,0,1,34,37,47,27,33,11
USC,2022,PAC 12,0,1,35,31,21,40,42,7
Michigan State,2022,Big 10,0,1,36,26,23,32,40,7
Seton Hall,2022,Big East,0,0,37,32,31,36,35,8
Indiana,2022,Big 10,0,1,38,60,44,33,36,12
Davidson,2022,A10,0,0,41,38,35,50,41,10
Marquette,2022,Big East,0,0,42,36,50,54,47,9
TCU,2022,Big 12,0,1,44,41,28,44,38,9
UAB,2022,CUSA,1,0,46,54,64,47,46,12
Iowa State,2022,Big 12,0,1,49,45,30,52,48,11
Wyoming,2022,MWC,0,0,50,39,53,103,58,12
Notre Dame,2022,ACC,0,1,53,64,38,51,52,11
Creighton,2022,Big East,0,0,55,27,34,68,53,9
Miami FL,2022,ACC,0,1,62,40,33,58,62,10
Rutgers,2022,Big 10,0,1,77,63,52,74,74,11
New Mexico State,2022,WAC,1,0,79,42,70,116,81,12
Richmond,2022,A10,1,0,81,52,72,73,83,12
Houston,2023,AAC,0,0,1,5,6,1,1,1
Alabama,2023,SEC,1,1,2,1,1,2,3,1
UCLA,2023,PAC 12,0,1,3,8,5,4,2,2
Tennessee,2023,SEC,0,1,4,13,23,3,5,4
Purdue,2023,Big 10,1,1,5,3,3,7,7,1
Gonzaga,2023,WCC,1,0,6,7,9,8,8,3
Texas,2023,Big 12,1,1,7,4,4,5,6,2
Connecticut,2023,Big East,0,0,8,21,11,6,4,4
Kansas,2023,Big 12,0,1,9,2,2,10,9,1
Arizona,2023,PAC 12,1,1,10,9,8,9,10,2
Saint Mary's,2023,WCC,0,0,11,12,31,18,11,5
Marquette,2023,Big East,1,0,12,16,7,13,12,2
Florida Atlantic,2023,CUSA,1,0,13,27,22,34,26,9
San Diego State,2023,MWC,1,0,14,6,15,24,14,5
Baylor,2023,Big 12,0,1,15,10,10,12,15,3
Duke,2023,ACC,1,1,16,11,14,16,21,5
Creighton,2023,Big East,0,0,17,42,32,11,13,6
Utah State,2023,MWC,0,0,18,14,34,42,18,10
Texas A&M,2023,SEC,0,1,19,17,19,19,25,7
Iowa State,2023,Big 12,0,1,20,28,24,25,23,6
Arkansas,2023,SEC,0,1,21,23,43,14,20,8
Xavier,2023,Big East,0,0,22,24,12,21,16,3
Memphis,2023,AAC,1,0,23,18,18,29,19,8
Kansas State,2023,Big 12,0,1,24,15,13,31,24,3
West Virginia,2023,Big 12,0,1,25,33,30,23,17,9
Kentucky,2023,SEC,0,1,26,26,27,15,28,6
Virginia,2023,ACC,0,1,27,19,17,22,34,4
TCU,2023,Big 12,0,1,28,34,26,28,27,6
Boise State,2023,MWC,0,0,29,22,39,47,31,10
Indiana,2023,Big 10,0,1,30,20,21,17,30,4
Maryland,2023,Big 10,0,1,31,41,38,20,22,8
Auburn,2023,SEC,0,1,32,31,33,27,29,9
Michigan State,2023,Big 10,0,1,33,35,25,37,32,7
Illinois,2023,Big 10,0,1,34,46,37,30,33,9
Miami FL,2023,ACC,0,1,35,25,20,36,40,5
Oral Roberts,2023,Summit,1,0,36,78,42,83,56,12
Nevada,2023,MWC,0,0,37,32,54,71,43,11
Iowa,2023,Big 10,0,1,39,44,45,32,37,8
Northwestern,2023,Big 10,0,1,41,36,28,41,42,7
Missouri,2023,SEC,0,1,42,29,16,61,51,7
North Carolina State,2023,ACC,0,1,45,38,41,45,55,11
Penn State,2023,Big 10,0,1,48,37,29,46,39,10
Mississippi State,2023,SEC,0,1,49,51,40,44,49,11
USC,2023,PAC 12,0,1,50,40,35,54,36,10
Charleston,2023,CAA,1,0,51,55,36,63,73,12
VCU,2023,A10,1,0,53,30,49,56,58,12
Drake,2023,MVC,1,0,55,47,61,55,66,12
Providence,2023,Big East,0,0,56,66,46,40,44,11
Arizona State,2023,PAC 12,0,1,66,52,47,72,68,11
Pittsburgh,2023,ACC,0,1,67,56,52,66,77,11
Houston,2024,Big 12,0,1,1,2,1,1,2,1
Connecticut,2024,Big East,1,0,2,3,2,2,1,1
Purdue,2024,Big 10,0,1,3,1,3,3,3,1
Arizona,2024,PAC 12,0,1,4,7,13,5,6,2
Auburn,2024,SEC,1,1,5,8,11,4,4,4
Iowa State,2024,Big 12,1,1,6,6,4,6,5,2
Tennessee,2024,SEC,0,1,7,4,7,7,7,2
North Carolina,2024,ACC,0,1,8,5,5,11,9,1
Alabama,2024,SEC,0,1,9,9,17,10,13,4
Duke,2024,ACC,0,1,10,19,15,8,8,4
Creighton,2024,Big East,0,0,11,15,14,9,11,3
BYU,2024,Big 12,0,1,12,30,21,17,16,6
Marquette,2024,Big East,0,0,13,16,6,14,12,2
Baylor,2024,Big 12,0,1,14,11,8,13,14,3
Illinois,2024,Big 10,1,1,15,10,9,12,10,3
Saint Mary's,2024,WCC,1,0,16,34,49,15,20,5
Gonzaga,2024,WCC,0,0,17,46,22,16,15,5
Wisconsin,2024,Big 10,0,1,18,14,18,18,17,5
Kentucky,2024,SEC,0,1,19,20,20,21,18,3
Kansas,2024,Big 12,0,1,20,13,12,20,22,4
San Diego State,2024,MWC,0,0,21,17,28,34,21,5
New Mexico,2024,MWC,1,0,22,25,54,43,23,11
Dayton,2024,A10,0,0,23,12,25,30,33,7
Michigan State,2024,Big 10,0,1,24,45,50,19,19,9
Colorado,2024,PAC 12,0,1,25,32,37,44,27,10
Florida,2024,SEC,0,1,26,23,16,23,24,7
Boise State,2024,MWC,0,0,27,27,61,48,39,10
Texas Tech,2024,Big 12,0,1,28,31,19,25,25,6
Texas,2024,Big 12,0,1,30,47,27,22,28,7
Mississippi State,2024,SEC,0,1,31,36,38,29,30,8
Nebraska,2024,Big 10,0,1,33,27,24,37,29,8
Nevada,2024,MWC,0,0,34,24,32,55,36,10
Clemson,2024,ACC,0,1,35,18,34,28,35,6
Colorado State,2024,MWC,0,0,36,28,56,71,38,10
Utah State,2024,MWC,0,0,38,26,23,68,48,8
Florida Atlantic,2024,AAC,0,0,39,33,40,35,41,8
TCU,2024,Big 12,0,1,42,59,26,26,32,9
Washington State,2024,PAC 12,0,1,44,35,35,42,42,7
Texas A&M,2024,SEC,0,1,45,39,45,36,43,9
Drake,2024,MVC,1,0,47,22,43,53,51,10
Grand Canyon,2024,WAC,1,0,50,52,52,61,53,12
South Carolina,2024,SEC,0,1,51,21,10,54,49,6
James Madison,2024,Sun Belt,1,0,52,88,33,46,59,12
Northwestern,2024,Big 10,0,1,53,41,29,39,46,9
Virginia,2024,ACC,0,1,54,38,30,56,68,10
McNeese State,2024,Southland,1,0,56,91,62,52,60,12
Oregon,2024,PAC 12,1,1,59,44,47,62,55,11
North Carolina State,2024,ACC,1,1,63,53,57,57,58,11
Duquesne,2024,A10,0,0,83,37,79,90,90,11
UAB,2024,AAC,1,0,105,70,83,119,106,12
