Team,Conference,Conf Champ,Power Conf,Year,NET,KPI,SOR,BPI,KP,Seed,W,L,Opp
Duke,ACC,1,1,2025,1,6,4,1,1,1,6,3,9
Auburn,SEC,0,1,2025,2,1,1,3,4,1,9,5,14
Houston,Big 12,1,1,2025,3,5,2,2,3,1,7,3,10
Florida,SEC,1,1,2025,4,3,3,4,2,1,7,3,10
Tennessee,SEC,0,1,2025,5,4,5,5,5,2,7,6,13
Alabama,SEC,0,1,2025,6,2,6,6,6,2,10,6,16
Texas Tech,Big 12,0,1,2025,7,21,10,8,7,3,4,5,9
Gonzaga,WCC,1,0,2025,8,26,39,10,9,8,1,2,3
Iowa State,Big 12,0,1,2025,9,23,13,7,10,3,2,5,7
Maryland,Big 10,0,1,2025,10,17,18,13,13,4,4,5,9
Michigan State,Big 10,0,1,2025,11,7,8,11,8,2,5,3,8
Arizona,Big 12,0,1,2025,12,25,20,9,14,4,6,7,13
St. John's,Big East,1,0,2025,13,10,7,12,12,2,2,1,3
Wisconsin,Big 10,0,1,2025,14,15,9,18,11,3,3,6,9
Kentucky,SEC,0,1,2025,15,9,12,17,16,3,7,8,15
Missouri,SEC,0,1,2025,16,29,29,31,15,6,4,6,10
Illinois,Big 10,0,1,2025,17,22,30,23,20,6,4,8,12
Texas A&M,SEC,0,1,2025,18,13,17,22,17,4,5,6,11
Purdue,Big 10,0,1,2025,19,12,27,21,19,4,3,8,11
Kansas,Big 12,0,1,2025,20,24,26,14,21,7,4,9,13
Saint Mary's,WCC,0,0,2025,21,20,25,30,22,7,2,1,3
Clemson,ACC,0,1,2025,22,19,15,15,18,5,2,2,4
Louisville,ACC,0,1,2025,23,16,11,28,23,8,1,4,5
BYU,Big 12,0,1,2025,24,31,19,24,24,6,3,4,7
Michigan,Big 10,1,1,2025,25,8,16,29,26,5,6,4,10
Marquette,Big East,0,0,2025,26,30,23,20,28,7,2,6,8
UCLA,Big 10,0,1,2025,27,28,28,27,27,7,5,4,9
Mississippi,SEC,0,1,2025,28,18,22,32,25,6,5,7,12
Oregon,Big 10,0,1,2025,29,11,21,36,31,5,5,4,9
Baylor,Big 12,0,1,2025,30,52,40,19,29,9,1,11,12
VCU,A10,1,0,2025,31,36,48,33,30,11,0,0,0
Connecticut,Big East,0,0,2025,32,46,31,16,35,8,4,2,6
Georgia,SEC,0,1,2025,33,38,35,38,34,9,4,7,11
Mississippi State,SEC,0,1,2025,34,27,34,35,32,8,2,7,9
UC San Diego,Big West,1,0,2025,35,40,46,57,36,12,1,0,1
North Carolina,ACC,0,1,2025,36,54,38,25,33,11,0,10,10
Utah State,MWC,0,0,2025,37,34,37,44,51,10,1,0,1
Creighton,Big East,0,0,2025,38,37,24,26,37,9,2,5,7
Texas,SEC,0,1,2025,39,58,53,34,44,11,3,7,10
Arkansas,SEC,0,1,2025,40,43,45,42,40,10,3,7,10
New Mexico,MWC,0,0,2025,42,32,33,49,41,10,1,1,2
Oklahoma,SEC,0,1,2025,43,42,36,43,38,9,4,10,14
Xavier,Big East,0,0,2025,45,60,42,39,43,11,1,5,6
Colorado State,MWC,1,0,2025,47,44,49,53,42,12,0,1,1
Vanderbilt,SEC,0,1,2025,48,47,41,56,49,10,3,7,10
Memphis,AAC,1,0,2025,50,14,14,46,52,5,2,1,3
San Diego State,MWC,0,0,2025,52,39,47,54,46,11,1,2,3
Drake,MVC,1,0,2025,56,33,32,73,58,11,0,0,0
McNeese State,Southland,1,0,2025,58,77,64,66,59,12,0,1,1
Liberty,CUSA,1,0,2025,60,49,62,85,62,12,0,0,0
